"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2018","23.060","23.860","23.940","23.060","140.71K","-3.19%"
"Nov 09, 2018","23.820","24.020","24.140","23.220","370.34K","-2.38%"
"Nov 08, 2018","24.400","24.500","25.040","24.180","189.70K","-0.41%"
"Nov 07, 2018","24.500","24.600","25.200","24.500","490.82K","0.00%"
"Nov 06, 2018","24.500","24.540","24.900","24.460","585.91K","-0.33%"
"Nov 05, 2018","24.580","25.000","25.100","24.340","305.00K","0.00%"
"Nov 02, 2018","24.580","24.300","25.260","24.240","459.39K","1.91%"
"Nov 01, 2018","24.120","23.020","24.360","23.020","560.37K","2.64%"
"Oct 31, 2018","23.500","23.920","23.980","23.220","1.09M","-0.68%"
"Oct 30, 2018","23.660","23.480","23.920","23.280","510.36K","0.77%"
"Oct 29, 2018","23.480","23.240","23.880","22.980","198.06K","0.77%"
"Oct 26, 2018","23.300","23.220","23.320","22.620","450.98K","0.43%"
"Oct 25, 2018","23.200","24.160","24.260","22.940","486.23K","-2.03%"
"Oct 24, 2018","23.680","22.340","24.080","22.120","1.58M","8.13%"
"Oct 23, 2018","21.900","22.000","22.340","21.580","544.65K","-1.35%"
"Oct 22, 2018","22.200","22.480","22.580","22.100","233.63K","0.73%"
"Oct 19, 2018","22.040","21.740","22.040","21.220","402.78K","0.82%"
"Oct 18, 2018","21.860","22.500","22.500","21.440","901.27K","-0.82%"
"Oct 17, 2018","22.040","21.180","22.300","21.100","573.27K","4.95%"
"Oct 16, 2018","21.000","21.340","21.340","20.700","468.32K","0.29%"
"Oct 15, 2018","20.940","21.120","21.300","20.540","309.06K","0.96%"
"Oct 12, 2018","20.740","19.560","20.780","19.560","553.09K","6.91%"
"Oct 11, 2018","19.400","19.940","19.940","19.120","532.90K","-2.37%"
"Oct 10, 2018","19.870","20.300","20.740","19.800","324.16K","-2.31%"
"Oct 09, 2018","20.340","20.420","20.940","20.000","180.87K","-1.83%"
"Oct 08, 2018","20.720","20.880","21.040","20.580","255.31K","-0.96%"
"Oct 05, 2018","20.920","21.080","21.420","20.800","313.30K","-1.23%"
